MovieID,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
m40,18,82.3,0,0,0,0,0.823,0.177,0,0;
m80,18,76.3,0,0,0,0,0.763,0.237,0,0;
m3,19,99.8,0,0,0,0,0.998,0,0,0.002;
m40,18,0.0,0,0,0,0,0,0.995,0.004,0;
m81,18,3.3,0,0,0,0,0.033,0.967,0,0;
m81,18,0.0,0,0,0,0,0,0.995,0.004,0;
m10,18,0.0,0,0,0,0,0,1,0,0;
m3,19,0.0,0,0,0,0,0,0.999,0.001,0;
m82,18,0.0,0,0,0,0,0,0.993,0.006,0;
m73,18,2.0,0,0.001,0,0,0.02,0.979,0,0;
m25,20,0.0,0,0,0,0,0,0.998,0.001,0.001;
m82,18,0.0,0,0,0,0,0,0.998,0.002,0;
m10,18,1.5,0,0.006,0,0,0.015,0.962,0,0.016;
m73,18,33.0,0,0.001,0,0,0.33,0.669,0.001,0;
m83,18,0.0,0,0,0,0,0,0.999,0.001,0;
m73,18,78.3,0,0.003,0,0,0.783,0.215,0,0;
m84,18,0.0,0,0,0,0,0,0.998,0.002,0;
m84,18,0.0,0,0,0,0,0,0.999,0.001,0;
m40,18,0.0,0,0,0,0,0,0.97,0.03,0;
m85,18,0.0,0,0,0,0,0,0.998,0.002,0;
m73,18,86.1,0,0,0,0,0.861,0.139,0,0;
m85,18,0.0,0,0,0,0,0,1,0,0;
m73,18,86.1,0,0,0,0,0.861,0.139,0,0;
m85,18,0.2,0,0,0,0,0.002,0.997,0,0;
m85,18,0.0,0,0,0,0,0,0.998,0.002,0;
m85,18,0.0,0,0,0,0,0,1,0,0;
m3,12,100.0,0,0,0,0,1,0,0,0;
